campaign,period,total calls,successful calls,total duration,total bill duration,ASR,# Effective Calls,% out of Successful Calls,% out of Total Calls
Main Campaign,2022 May 11,24357,16460,237:42:44,107:03:21,67.58%,619,3.76%,2.54%
Main Campaign,2022 May 12,20166,14423,234:38:24,124:30:33,71.52%,783,5.43%,3.88%
Main Campaign,2022 May 13,24525,17124,240:01:52,100:51:42,69.82%,547,3.19%,2.23%
Main Campaign,2022 May 14,2462,1719,42:22:23,28:30:36,69.82%,126,7.33%,5.12%
Main Campaign,2022 May 15,8057,5310,81:09:11,33:15:47,65.91%,164,3.09%,2.04%
Main Campaign,2022 May 16,30590,20938,305:45:07,133:08:07,68.45%,694,3.31%,2.27%
Main Campaign,2022 May 17,26149,17851,263:15:20,117:38:57,68.27%,668,3.74%,2.55%
Main Campaign,2022 May 18,32317,21835,294:32:52,113:46:29,67.57%,656,3%,2.03%
Main Campaign,2022 May 19,20807,14928,210:26:12,97:19:33,71.75%,566,3.79%,2.72%
Main Campaign,2022 May 20,31040,21304,296:00:14,124:32:25,68.63%,619,2.91%,1.99%
Main Campaign,2022 May 21,6348,4453,69:10:49,33:09:09,70.15%,153,3.44%,2.41%
Main Campaign,2022 May 22,7435,5128,82:53:54,40:30:16,68.97%,194,3.78%,2.61%
Main Campaign,2022 May 23,19979,14059,213:35:14,103:13:52,70.37%,578,4.11%,2.89%
Main Campaign,2022 May 24,21100,14323,217:38:24,98:44:45,67.88%,560,3.91%,2.65%
Main Campaign,2022 May 25,23254,15702,225:17:04,94:36:14,67.52%,542,3.45%,2.33%
Main Campaign,2022 May 26,30673,20456,287:10:26,115:42:09,66.69%,589,2.88%,1.92%
Main Campaign,2022 May 27,37930,25465,336:57:14,124:14:53,67.14%,568,2.23%,1.50%
Main Campaign,2022 May 28,7180,5171,65:41:38,26:18:52,72.02%,159,3.07%,2.21%
Main Campaign,2022 May 29,10546,7104,94:10:58,36:10:41,67.36%,159,2.24%,1.51%
Main Campaign,2022 May 30,30811,20520,283:36:01,111:35:38,66.60%,530,2.58%,1.72%
Main Campaign,2022 May 31,39778,25891,348:12:50,126:05:41,65.09%,570,2.20%,1.43%
Main Campaign,2022 Jun 01,42125,27245,358:02:28,126:55:52,64.68%,623,2.29%,1.48%
Main Campaign,2022 Jun 02,42222,28089,349:32:56,117:40:34,66.53%,622,2.21%,1.47%
